t_s	i_a
68.291	-0.0003472797
68.347	-0.0003475299
68.404	-0.0003476759
68.462	-0.0003475717
68.519	-0.0003473422
68.576	-0.0003473214
68.633	-0.000347092
68.690	-0.0003477176
68.747	-0.0003474465
68.803	-0.0003474257
68.860	-0.0003473005
68.917	-0.000347384
68.974	-0.0003476134
69.031	-0.0003471754
69.088	-0.0003471128
69.144	-0.0003472171
69.201	-0.0003471337
69.258	-0.0003476342
69.314	-0.0003476134
69.371	-0.0003473631
69.428	-0.0003472171
69.485	-0.0003475299
69.541	-0.0003474257
69.599	-0.0003469877
69.656	-0.0003475299
69.713	-0.0003474257
69.770	-0.0003475091
69.826	-0.0003474048
69.883	-0.0003467792
69.940	-0.000347384
69.997	-0.000347384
70.054	-0.000347238
70.111	-0.0003475717
70.168	-0.0003471754
70.225	-0.0003474465
70.281	-0.0003471754
70.338	-0.0003474882
70.394	-0.0003478428
70.451	-0.000347092
70.508	-0.000347384
70.565	-0.0003472588
70.622	-0.0003473005
70.679	-0.0003475925
70.737	-0.0003475925
70.794	-0.0003473631
70.851	-0.0003473631
70.909	-0.0003473005
70.966	-0.000347092
71.023	-0.0003472797
71.080	-0.0003473005
71.137	-0.0003473422
71.194	-0.0003474674
71.251	-0.0003472588
71.308	-0.0003473422
71.364	-0.0003471963
71.421	-0.0003472588
71.477	-0.0003469669
71.534	-0.0003472588
71.591	-0.0003470294
71.648	-0.0003471963
71.704	-0.0003471546
71.761	-0.0003471963
71.817	-0.0003473214
71.875	-0.0003476551
71.932	-0.0003474465
71.988	-0.0003473631
72.046	-0.000347238
72.103	-0.0003474257
72.159	-0.0003471337
72.216	-0.0003469877
72.273	-0.0003474674
72.329	-0.0003473631
72.386	-0.0003473631
72.443	-0.000347238
72.499	-0.000347947
72.555	-0.0003468
72.612	-0.0003476968
72.668	-0.0003472797
72.725	-0.0003472797
72.781	-0.0003469251
72.838	-0.0003477176
72.895	-0.0003473422
72.951	-0.0003471546
73.009	-0.0003471754
73.066	-0.0003470294
73.122	-0.0003475925
73.180	-0.0003471754
73.236	-0.0003471546
73.293	-0.0003473005
73.349	-0.0003480096
73.406	-0.0003474257
73.462	-0.0003470503
73.519	-0.000347238
73.576	-0.0003472171
73.632	-0.0003471963
73.689	-0.0003472797
73.745	-0.0003467792
73.802	-0.0003474048
73.859	-0.0003471754
73.915	-0.0003473422
73.972	-0.0003476551
74.029	-0.0003467792
74.086	-0.0003475299
74.143	-0.0003475717
74.200	-0.0003474674
74.257	-0.0003470711
74.314	-0.0003471546
74.371	-0.0003474674
74.428	-0.0003471337
74.484	-0.0003473631
74.541	-0.0003475299
74.598	-0.0003472171
74.655	-0.0003471754
74.712	-0.0003473631
74.768	-0.000347238
74.825	-0.0003475091
74.882	-0.0003471337
74.939	-0.0003464663
74.996	-0.0003472797
75.052	-0.000347092
75.110	-0.0003470711
75.167	-0.0003468417
75.223	-0.0003476342
75.281	-0.0003468209
75.338	-0.0003472171
75.394	-0.0003472171
75.452	-0.0003474465
75.509	-0.000347384
75.566	-0.0003471963
75.622	-0.0003472797
75.679	-0.0003472171
75.736	-0.0003464872
75.792	-0.0003477385
75.850	-0.0003471337
75.907	-0.0003472797
75.963	-0.0003471963
76.020	-0.0003473214
76.076	-0.0003468834
76.133	-0.0003472588
76.190	-0.0003472588
76.247	-0.000347238
76.304	-0.0003473422
76.360	-0.0003475299
76.418	-0.0003471963
76.475	-0.0003474257
76.531	-0.0003471546
76.589	-0.0003471963
76.646	-0.0003469251
76.702	-0.0003471754
76.759	-0.0003471963
76.816	-0.0003473422
76.873	-0.0003472797
76.930	-0.0003469043
76.987	-0.0003474465
77.044	-0.0003469669
77.101	-0.000347238
77.159	-0.0003469877
77.216	-0.0003473422
77.273	-0.0003469251
77.330	-0.0003469669
77.386	-0.0003471754
77.443	-0.0003471337
77.500	-0.0003475508
77.557	-0.0003472171
77.613	-0.0003470294
77.670	-0.0003473005
77.727	-0.0003471546
77.784	-0.0003473631
77.841	-0.0003473214
77.899	-0.0003471754
77.955	-0.0003475299
78.012	-0.0003472797
78.069	-0.0003472797
78.126	-0.000347092
78.182	-0.0003473631
78.240	-0.0003475091
78.297	-0.0003474048
78.353	-0.0003473214
78.410	-0.0003472588
78.466	-0.0003472171
78.523	-0.0003471546
78.580	-0.0003472588
78.637	-0.0003474048
78.694	-0.0003470711
78.751	-0.0003470086
78.807	-0.0003472171
78.865	-0.0003472588
78.922	-0.0003471546
78.979	-0.0003470086
79.037	-0.0003475717
79.094	-0.0003468834
79.151	-0.0003471128
79.209	-0.0003470294
79.266	-0.0003478011
79.322	-0.0003473005
79.379	-0.0003471963
79.435	-0.0003470503
79.492	-0.0003472171
79.549	-0.0003472588
79.606	-0.0003468626
79.663	-0.0003467792
79.719	-0.0003471128
79.776	-0.0003470086
79.833	-0.0003473422
79.889	-0.0003475299
79.946	-0.0003474882
80.003	-0.0003473214
80.060	-0.0003470711
80.116	-0.0003471546
80.174	-0.0003474257
80.230	-0.0003472171
80.287	-0.0003472588
80.345	-0.0003472797
80.402	-0.0003472797
80.459	-0.0003469877
80.516	-0.0003472588
80.572	-0.0003472171
80.629	-0.0003471337
80.686	-0.000346946
80.743	-0.0003474257
80.799	-0.0003474882
80.856	-0.0003471337
80.913	-0.0003473422
80.970	-0.000347092
81.027	-0.0003471337
81.084	-0.0003472588
81.141	-0.0003472171
81.198	-0.0003471754
81.254	-0.0003472797
81.312	-0.0003473422
81.369	-0.0003476968
81.426	-0.000346946
81.483	-0.0003472171
81.540	-0.0003471754
81.597	-0.0003471754
81.655	-0.0003468209
81.711	-0.0003472588
81.768	-0.0003471963
81.824	-0.0003473631
81.881	-0.0003471337
81.938	-0.000347384
81.994	-0.0003466957
82.051	-0.0003476551
82.108	-0.0003473005
82.165	-0.000347238
82.221	-0.0003473214
82.278	-0.0003477802
82.335	-0.0003472171
82.391	-0.000347238
82.448	-0.0003470711
82.505	-0.0003471128
82.562	-0.0003469251
82.620	-0.0003471754
82.676	-0.000347238
82.733	-0.0003471546
82.791	-0.0003471546
82.848	-0.0003473631
82.904	-0.0003468
82.961	-0.0003474257
83.017	-0.0003473214
83.074	-0.0003471128
83.131	-0.0003475299
83.188	-0.0003470294
83.245	-0.0003472588
83.302	-0.000347238
83.359	-0.0003471128
83.415	-0.0003470503
83.472	-0.0003473005
83.529	-0.0003474048
83.586	-0.0003473214
83.642	-0.0003470086
83.699	-0.0003471128
83.757	-0.0003476342
83.814	-0.0003473005
83.871	-0.0003471754
83.929	-0.000347092
83.986	-0.0003471754
84.042	-0.0003470294
84.100	-0.0003466957
84.156	-0.0003474257
84.213	-0.0003472797
84.270	-0.0003471963
84.326	-0.0003469877
84.383	-0.000347092
84.440	-0.0003472171
84.496	-0.0003471963
84.553	-0.0003471754
84.610	-0.0003473214
84.667	-0.0003473005
84.724	-0.0003471337
84.780	-0.0003473214
84.837	-0.0003470294
84.895	-0.0003472588
84.951	-0.0003473422
85.008	-0.000346946
85.066	-0.000347238
85.123	-0.0003474465
85.180	-0.000347384
85.238	-0.0003471963
85.295	-0.0003474465
85.352	-0.0003470503
85.409	-0.0003474257
85.465	-0.0003473214
85.522	-0.0003472588
85.579	-0.0003469877
85.636	-0.0003471754
85.692	-0.0003472797
85.749	-0.0003471128
85.806	-0.0003471337
85.863	-0.0003472171
85.920	-0.0003470503
85.976	-0.0003472797
86.034	-0.0003471963
86.090	-0.0003476968
86.147	-0.0003470711
86.205	-0.0003471546
86.261	-0.0003473631
86.318	-0.0003470711
86.376	-0.0003472171
86.432	-0.000347238
86.489	-0.0003475925
86.546	-0.0003471546
86.602	-0.0003470086
86.659	-0.0003473214
86.716	-0.0003473214
86.773	-0.0003468417
86.830	-0.0003471546
86.886	-0.000347238
86.943	-0.0003473214
87.000	-0.0003467792
87.056	-0.0003475091
87.113	-0.0003469669
87.170	-0.0003470711
87.227	-0.0003469877
87.283	-0.000347238
87.341	-0.000347092
87.397	-0.0003468417
87.454	-0.0003471128
87.511	-0.0003471546
87.568	-0.0003473214
87.625	-0.0003470294
87.682	-0.0003469043
87.739	-0.000347092
87.796	-0.0003472588
87.853	-0.0003474257
87.910	-0.0003472797
87.967	-0.0003474674
88.023	-0.0003474882
88.080	-0.0003470503
88.137	-0.0003472797
88.194	-0.000347092
88.250	-0.0003469251
88.307	-0.0003470711
88.364	-0.0003473422
88.421	-0.0003471754
88.479	-0.000347238
88.535	-0.0003473214
88.591	-0.0003473631
88.650	-0.0003472797
88.706	-0.0003470503
88.763	-0.0003467583
88.821	-0.0003474048
88.878	-0.0003472588
88.935	-0.000347384
88.992	-0.0003475091
89.049	-0.0003469043
89.106	-0.0003476968
89.162	-0.0003474465
89.220	-0.0003473631
89.277	-0.0003472588
89.333	-0.0003472588
89.390	-0.0003470294
89.447	-0.0003467166
89.503	-0.0003471337
89.560	-0.0003472588
89.616	-0.0003473631
89.673	-0.0003471754
89.730	-0.0003470503
89.787	-0.0003473214
89.844	-0.0003467792
89.901	-0.000347238
89.959	-0.0003473005
90.015	-0.0003468834
90.072	-0.0003472171
90.130	-0.0003473422
90.187	-0.0003471128
90.244	-0.0003473214
90.300	-0.0003471754
90.357	-0.0003470086
90.414	-0.0003472171
90.470	-0.0003471337
90.527	-0.0003475299
90.584	-0.0003472797
90.640	-0.0003471963
90.697	-0.0003473631
90.754	-0.000347384
90.810	-0.0003473631
90.867	-0.0003474882
90.925	-0.0003475508
90.981	-0.000347384
91.038	-0.0003474882
91.096	-0.0003471337
91.152	-0.0003474048
91.209	-0.0003471128
91.267	-0.0003472588
91.324	-0.0003472171
91.380	-0.0003471754
91.437	-0.0003471546
91.494	-0.0003475091
91.550	-0.0003472171
91.607	-0.0003471128
91.664	-0.0003471546
91.721	-0.0003474257
91.778	-0.0003469251
91.835	-0.0003470711
91.891	-0.0003471754
91.948	-0.0003471963
92.006	-0.000347092
92.063	-0.0003471128
92.119	-0.0003472171
92.176	-0.0003472171
92.234	-0.0003470711
92.291	-0.0003471546
92.347	-0.0003469043
92.405	-0.0003470503
92.462	-0.000347092
92.519	-0.0003473631
92.576	-0.0003470503
92.633	-0.0003471963
92.690	-0.0003473214
92.746	-0.0003469251
92.803	-0.0003472588
92.859	-0.0003469877
92.916	-0.0003476134
92.972	-0.0003471754
93.029	-0.0003470711
93.086	-0.0003475508
93.142	-0.0003471128
93.199	-0.0003470711
93.255	-0.0003472797
93.312	-0.000347092
93.370	-0.0003469669
93.427	-0.0003471754
93.484	-0.0003474048
93.541	-0.0003473214
93.598	-0.0003474465
93.655	-0.0003474048
93.713	-0.0003473005
93.770	-0.0003471546
93.827	-0.0003470086
93.884	-0.001084592
93.941	-0.001083945
93.997	-0.001084008
94.054	-0.001084258
94.111	-0.001084195
94.168	-0.001083716
94.224	-0.001084258
94.281	-0.001084154
94.338	-0.001084049
94.395	-0.00108357
94.452	-0.001083737
94.509	-0.001084821
94.565	-0.001084821
94.622	-0.001084383
94.680	-0.001083632
94.736	-0.001084404
94.793	-0.001084341
94.940	-0.02070345
94.996	-0.02070908
95.053	-0.02070512
95.110	-0.02070679
95.166	-0.02071242
95.223	-0.02071222
95.279	-0.02071493
95.336	-0.02071931
95.392	-0.02072349
95.449	-0.02072641
95.506	-0.02073079
95.562	-0.02073768
95.619	-0.02074478
95.676	-0.02074353
95.732	-0.02074854
95.789	-0.02075793
95.846	-0.03290612
95.903	-0.03974721
95.960	-0.03974971
96.016	-0.03975639
96.074	-0.03975639
96.131	-0.03975576
96.187	-0.03975576
96.244	-0.03976056
96.301	-0.03976578
96.358	-0.03976391
96.415	-0.03976766
96.472	-0.03977372
96.528	-0.03978102
96.585	-0.03978143
96.642	-0.03978832
96.699	-0.03979834
96.755	-0.03980106
96.812	-0.03980147
96.869	-0.03980669
96.926	-0.03981316
96.983	-0.03982506
97.040	-0.03983237
97.097	-0.03983884
97.154	-0.03984239
97.211	-0.03984468
97.268	-0.03985178
97.325	-0.03985554
97.382	-0.03986389
97.439	-0.03986556
97.496	-0.03986556
97.552	-0.03987015
97.609	-0.03988017
97.665	-0.03988413
97.722	-0.03988831
97.779	-0.03989373
97.835	-0.02047739
98.024	-0.0003476968
98.081	-0.0003475717
98.138	-0.0003474257
98.195	-0.000347384
98.252	-0.0003475925
98.309	-0.0003474882
98.366	-0.0003475299
98.422	-0.0003473214
98.479	-0.0003479679
98.536	-0.0003473631
98.593	-0.0003474882
98.650	-0.0003473631
98.707	-0.0003478219
98.763	-0.0003481765
98.820	-0.0003474882
98.877	-0.0003475091
98.934	-0.0003475717
98.991	-0.0003476134
99.049	-0.0003475299
99.106	-0.0003480096
99.163	-0.0003477385
99.220	-0.0003476551
99.277	-0.0003476759
99.333	-0.0003479262
99.390	-0.0003478011
99.447	-0.0003476551
99.504	-0.0003476134
99.560	-0.0003474882
99.617	-0.0003478428
99.674	-0.0003473422
99.731	-0.0003474674
99.787	-0.000347384
99.844	-0.0003472797
99.901	-0.0003474674
99.957	-0.0003477594
100.015	-0.0003472588
100.071	-0.0003474674
100.128	-0.0003475508
100.186	-0.0003472797
100.243	-0.0003475717
100.300	-0.0003471546
100.358	-0.0003474465
100.415	-0.0003475299
100.471	-0.0003475299
100.529	-0.0003475717
100.586	-0.0003471546
100.642	-0.0003475091
100.699	-0.0003475091
100.756	-0.0003474257
100.813	-0.0003481139
100.870	-0.0003470086
100.926	-0.0003476551
100.983	-0.0003473214
101.040	-0.0003474674
101.096	-0.0003474882
101.153	-0.0003471963
101.210	-0.0003474882
101.267	-0.0003477385
101.324	-0.0003475508
101.381	-0.0003468209
101.438	-0.0003469043
101.495	-0.0003475717
101.552	-0.0003475508
101.609	-0.0003474257
101.666	-0.0003478219
101.723	-0.0003475925
101.780	-0.0003469251
101.837	-0.0003474465
101.894	-0.0003474465
101.951	-0.0003474674
102.008	-0.0003470503
102.065	-0.0003480305
102.121	-0.0003474048
102.178	-0.0003473631
102.234	-0.0003475299
102.291	-0.0003472171
102.348	-0.000346654
102.404	-0.0003474882
102.461	-0.0003473005
102.517	-0.0003474674
102.574	-0.0003472171
102.632	-0.0003477594
102.688	-0.0003471128
102.745	-0.0003474257
102.802	-0.0003474882
102.859	-0.0003473005
102.916	-0.0003478428
102.972	-0.0003468834
103.029	-0.0003474882
103.085	-0.000347384
103.142	-0.0003474465
103.199	-0.000347384
103.255	-0.000347384
103.312	-0.0003474048
103.369	-0.0003473631
103.425	-0.0003475925
103.482	-0.0003480305
103.538	-0.0003473005
103.595	-0.0003472797
103.652	-0.0003474257
103.708	-0.0003473422
103.766	-0.000347092
103.822	-0.0003471963
103.879	-0.0003475091
103.936	-0.0003472588
103.992	-0.0003473631
104.049	-0.0003473214
104.105	-0.0003474465
104.162	-0.0003474882
104.219	-0.0003470711
104.276	-0.0003474674
104.333	-0.0003474048
104.390	-0.0003472588
104.446	-0.0003471963
104.503	-0.0003475091
104.560	-0.0003474882
104.616	-0.0003473214
104.673	-0.0003478011
104.731	-0.0003468417
104.787	-0.0003474465
104.844	-0.0003472588
104.902	-0.0003473005
104.959	-0.0003474674
105.016	-0.0003474257
105.074	-0.000347238
105.131	-0.000347238
105.188	-0.0003473005
105.245	-0.0003471546
105.301	-0.0003473631
105.358	-0.0003466332
105.415	-0.0003471546
105.472	-0.0003472797
105.529	-0.000347092
105.586	-0.0003472171
105.643	-0.0003473214
105.699	-0.0003473005
105.756	-0.0003472588
105.813	-0.0003469877
105.870	-0.000347238
105.927	-0.0003472171
105.984	-0.0003471754
106.041	-0.0003473422
106.098	-0.0003471546
106.155	-0.0003471963
106.213	-0.0003471546
106.270	-0.0003474048
106.326	-0.0003473005
106.384	-0.0003471337
106.441	-0.0003469669
106.498	-0.0003474048
106.555	-0.000347384
106.612	-0.0003474465
106.668	-0.0003474674
106.725	-0.0003468626
106.782	-0.0003472588
106.839	-0.0003476342
106.896	-0.0003471963
106.953	-0.0003474465
107.010	-0.0003469251
107.067	-0.0003471128
107.124	-0.0003470711
107.181	-0.0003473214
107.238	-0.0003473214
107.295	-0.0003476551
107.353	-0.0003476551
107.409	-0.0003476759
107.466	-0.0003473422
107.524	-0.0003472171
107.581	-0.0003472797
107.638	-0.0003471128
107.695	-0.000347238
107.752	-0.0003471128
107.809	-0.0003471546
107.865	-0.0003471754
107.922	-0.000347384
107.979	-0.0003478636
108.035	-0.0003471337
108.092	-0.0003471546
108.149	-0.0003471963
108.205	-0.0003468417
108.262	-0.0003478011
108.319	-0.0003471754
108.375	-0.0003470086
108.432	-0.0003470711
108.489	-0.0003473214
108.546	-0.0003477385
108.603	-0.0003466957
108.661	-0.0003475508
108.717	-0.0003473005
108.774	-0.0003478428
108.832	-0.0003467166
108.889	-0.0003473631
108.946	-0.0003472797
109.002	-0.0003474048
109.059	-0.000347238
109.116	-0.0003472588
109.173	-0.0003472588
109.230	-0.0003471128
109.287	-0.0003471963
109.343	-0.0003473214
109.400	-0.0003471337
109.457	-0.0003476968
109.514	-0.000347238
109.571	-0.0003472797
109.627	-0.000347238
109.684	-0.0003470294
109.741	-0.0003469251
109.798	-0.0003472588
109.855	-0.0003473631
109.912	-0.000347384
109.970	-0.0003473214
110.026	-0.0003470711
110.083	-0.0003471337
110.141	-0.0003472797
110.197	-0.0003472588
110.254	-0.0003472797
110.311	-0.0003476342
110.368	-0.0003465498
110.425	-0.0003471754
110.481	-0.0003470086
110.538	-0.0003472588
110.595	-0.0003474674
110.652	-0.0003468417
110.708	-0.0003473005
110.765	-0.0003473005
110.821	-0.000347238
110.878	-0.0003469251
110.936	-0.0003474257
110.993	-0.0003471754
111.050	-0.000347384
111.108	-0.0003473005
111.165	-0.0003468
111.222	-0.000347238
111.279	-0.0003474048
111.336	-0.0003471337
111.393	-0.0003473422
111.450	-0.0003469043
111.506	-0.000347947
111.563	-0.0003471963
111.620	-0.0003473214
111.677	-0.0003473214
111.733	-0.0003471754
111.790	-0.0003471754
111.846	-0.0003468417
111.903	-0.000347238
111.960	-0.0003474257
112.017	-0.000347238
112.074	-0.0003471963
112.131	-0.0003467375
112.187	-0.0003473422
112.245	-0.0003472797
112.302	-0.0003472797
112.359	-0.0003476759
112.416	-0.0003470503
112.473	-0.0003474048
112.529	-0.0003471337
112.587	-0.0003472171
112.643	-0.0003479679
112.700	-0.0003465498
112.756	-0.0003473422
112.813	-0.0003471754
112.870	-0.0003471963
112.927	-0.0003469043
112.984	-0.0003473214
113.041	-0.0003466749
113.097	-0.0003469877
113.154	-0.0003473005
113.211	-0.0003469877
113.267	-0.0003468417
113.324	-0.0003475091
113.381	-0.0003471337
113.438	-0.0003471337
113.495	-0.0003470503
113.553	-0.0003472797
113.610	-0.0003470086
113.666	-0.0003473005
113.724	-0.0003474882
113.780	-0.0003472797
113.837	-0.0003480096
113.894	-0.0003469043
113.950	-0.0003469251
114.007	-0.0003474257
114.064	-0.0003473005
114.121	-0.0003472588
114.177	-0.0003477176
114.234	-0.0003474882
114.291	-0.0003471546
114.348	-0.0003471546
114.404	-0.0003473631
114.461	-0.0003470711
114.518	-0.0003475299
114.575	-0.0003473422
114.632	-0.0003471754
114.690	-0.0003472588
114.746	-0.0003473631
114.803	-0.000347384
114.861	-0.0003475717
114.918	-0.0003471337
114.975	-0.0003470503
115.032	-0.0003471546
115.088	-0.0003473005
115.145	-0.0003469669
115.202	-0.000347092
115.258	-0.0003470294
115.316	-0.0003472588
115.373	-0.0003468834
115.430	-0.0003471546
115.486	-0.0003472797
115.543	-0.0003471337
115.600	-0.0003476134
115.657	-0.000347092
115.714	-0.0003474257
115.770	-0.0003472797
115.828	-0.0003472588
115.885	-0.0003472797
115.941	-0.0003475508
115.999	-0.0003474674
116.056	-0.0003470294
116.113	-0.0003470294
116.170	-0.000347384
116.227	-0.0003473422
116.284	-0.0003470503
116.340	-0.000347092
116.397	-0.0003472171
116.454	-0.0003473422
116.510	-0.0003474882
116.567	-0.0003471337
116.624	-0.0003471754
116.680	-0.0003472797
116.737	-0.0003472171
116.793	-0.000347384
116.850	-0.0003476342
116.907	-0.0003473631
116.964	-0.000347238
117.020	-0.0003471963
117.077	-0.0003470503
117.135	-0.0003472588
117.191	-0.0003474465
117.248	-0.0003471337
117.305	-0.0003470503
117.361	-0.000347384
117.418	-0.0003475091
117.475	-0.0003467375
117.532	-0.0003472588
117.588	-0.0003470086
117.645	-0.0003473422
117.702	-0.0003476759
117.758	-0.000346654
117.815	-0.0003471128
117.871	-0.0003474048
117.928	-0.0003472797
117.985	-0.000347238
118.041	-0.0003472171
118.099	-0.0003470086
118.155	-0.0003471128
118.212	-0.0003472171
118.270	-0.000347384
118.326	-0.0003475508
118.383	-0.0003465498
118.440	-0.0003471337
118.496	-0.0003471754
118.553	-0.0003471963
118.610	-0.0003471963
118.666	-0.0003474674
118.723	-0.0003471754
118.780	-0.0003472797
118.837	-0.0003471337
118.893	-0.0003471128
118.950	-0.0003471546
119.006	-0.0003472797
119.063	-0.0003470294
119.120	-0.0003472797
119.176	-0.000347092
119.234	-0.0003477176
119.290	-0.0003470503
119.347	-0.0003472588
119.405	-0.0003472588
119.462	-0.000347238
119.519	-0.0003472588
119.576	-0.0003472797
119.633	-0.0003471963
119.689	-0.0003473422
119.746	-0.0003471754
119.803	-0.0003471337
119.860	-0.0003474048
119.916	-0.0003472797
119.973	-0.0003473005
120.030	-0.0003471754
120.087	-0.0003468
120.144	-0.000347092
120.201	-0.000347384
120.258	-0.0003473005
120.315	-0.0003472588
120.372	-0.0003471337
120.429	-0.0003469669
120.486	-0.0003473422
120.544	-0.0003469669
120.600	-0.000347238
120.657	-0.0003463829
120.715	-0.0003476342
120.772	-0.0003470711
120.828	-0.0003471128
120.885	-0.0003473005
120.941	-0.000346946
120.998	-0.0003473422
121.055	-0.0003470503
121.111	-0.0003469043
121.168	-0.0003470294
121.225	-0.0003474674
121.281	-0.0003472171
121.338	-0.0003468417
121.395	-0.0003470503
121.452	-0.0003471337
121.509	-0.0003473422
121.565	-0.0003472588
121.622	-0.0003473214
121.680	-0.000346946
121.736	-0.0003471754
121.793	-0.000346946
121.850	-0.0003473631
121.907	-0.0003470086
121.964	-0.0003469877
122.020	-0.000347092
122.077	-0.0003474048
122.134	-0.0003475091
122.191	-0.0003476134
122.248	-0.0003465706
122.305	-0.000347092
122.362	-0.0003469669
122.419	-0.0003473005
122.475	-0.0003475508
122.532	-0.0003471128
122.589	-0.0003470503
122.646	-0.0003472171
122.703	-0.0003469043
122.759	-0.0003474048
122.817	-0.000346654
122.874	-0.0003467792
122.930	-0.0003468417
122.987	-0.0003469669
123.044	-0.0003473422
123.101	-0.0003468626
123.158	-0.000347092
123.214	-0.0003468834
123.271	-0.0003470711
123.327	-0.0003464455
123.385	-0.0003471963
123.441	-0.0003467792
123.498	-0.0003469669
123.555	-0.0003470294
123.611	-0.0003468
123.668	-0.0003470711
123.725	-0.0003467792
123.782	-0.0003468417
123.838	-0.0003470294
123.895	-0.0003470711
123.953	-0.0003467583
124.009	-0.0003471546
124.066	-0.000346946
124.124	-0.0003469251
124.180	-0.0003471128
124.237	-0.0003468834
124.294	-0.0003477385
124.351	-0.0003471128
124.408	-0.0003470294
124.464	-0.0003471337
124.521	-0.0003470086
124.578	-0.000346946
124.635	-0.0003475925
124.691	-0.0003472171
124.748	-0.0003471337
124.805	-0.0003470294
124.861	-0.0003478219
124.918	-0.000346946
124.975	-0.0003474465
125.032	-0.0003471128
125.089	-0.0003472171
125.146	-0.0003468417
125.202	-0.000346946
125.260	-0.0003471546
125.317	-0.0003473422
125.373	-0.000346946
125.430	-0.0003465498
125.487	-0.0003474257
125.543	-0.0003472797
125.600	-0.0003472171
125.657	-0.000347092
125.714	-0.0003469877
125.770	-0.0003470086
125.827	-0.0003474048
125.883	-0.0003472588
125.940	-0.000347238
125.997	-0.0003469669
126.054	-0.0003466332
126.110	-0.0003473214
126.167	-0.0003472171
126.225	-0.0003473005
126.282	-0.000347092
126.339	-0.0003473631
126.397	-0.0003473422
126.454	-0.0003471128
126.510	-0.0003472171
126.568	-0.0003470086
126.624	-0.0003473214
126.681	-0.0003475299
126.738	-0.000347238
126.794	-0.0003469669
126.851	-0.000346946
126.907	-0.0003474465
126.964	-0.0003465706
127.021	-0.0003473214
127.078	-0.000347238
127.135	-0.0003473214
127.192	-0.0003475717
127.248	-0.0003474048
127.305	-0.000347092
127.363	-0.0003472797
127.419	-0.0003471754
127.476	-0.000347092
127.534	-0.0003472797
127.590	-0.0003469251
127.647	-0.001084508
127.704	-0.001084425
127.761	-0.001083883
127.817	-0.001083862
127.874	-0.001084508
127.931	-0.0010843
127.988	-0.001084029
128.044	-0.001083653
128.102	-0.00108407
128.158	-0.0010843
128.215	-0.001083862
128.272	-0.001083528
128.328	-0.001083653
128.385	-0.001084362
128.442	-0.001084842
128.499	-0.001085176
128.556	-0.00108455
128.613	-0.001289431
128.760	-0.02070908
128.816	-0.02071201
128.873	-0.02071389
128.930	-0.02071785
128.987	-0.02071743
129.044	-0.02071493
129.101	-0.02072015
129.158	-0.02072161
129.215	-0.02072933
129.272	-0.02073246
129.329	-0.02073163
129.385	-0.02073852
129.442	-0.02074478
129.499	-0.02074394
129.555	-0.02076482
129.612	-0.02231531
129.669	-0.03971089
129.725	-0.03971339
129.782	-0.03970734
129.838	-0.03970629
129.896	-0.03971318
129.952	-0.03972821
130.009	-0.03973656
