t_s	i_a
15.639	-0.0003471128
15.696	-0.0003472588
15.753	-0.0003471337
15.809	-0.0003473214
15.866	-0.0003474882
15.923	-0.0003473631
15.980	-0.0003470711
16.037	-0.0003466749
16.094	-0.0003476968
16.151	-0.0003472588
16.208	-0.0003469251
16.265	-0.0003471963
16.322	-0.0003472171
16.380	-0.0003476134
16.437	-0.0003473631
16.493	-0.0003470503
16.550	-0.0003468834
16.607	-0.000346946
16.664	-0.0003472797
16.721	-0.0003472171
16.778	-0.0003470294
16.834	-0.0003470294
16.891	-0.0003469669
16.948	-0.0003476551
17.004	-0.0003468626
17.061	-0.0003471546
17.118	-0.0003471754
17.175	-0.0003473631
17.232	-0.0003474674
17.289	-0.000347092
17.347	-0.0003471546
17.404	-0.0003471546
17.460	-0.0003471754
17.518	-0.0003470086
17.575	-0.0003466749
17.631	-0.0003472588
17.688	-0.0003473005
17.745	-0.0003473005
17.801	-0.0003466749
17.858	-0.0003479888
17.915	-0.000347238
17.972	-0.000346946
18.028	-0.0003473631
18.085	-0.0003476759
18.142	-0.0003470294
18.199	-0.000347384
18.256	-0.0003472171
18.313	-0.000346946
18.370	-0.0003478011
18.427	-0.0003469043
18.484	-0.0003472171
18.541	-0.0003471337
18.598	-0.000347238
18.656	-0.0003470711
18.712	-0.0003476134
18.769	-0.0003471546
18.827	-0.0003471128
18.884	-0.0003469877
18.940	-0.0003473214
18.997	-0.0003469251
19.053	-0.000346946
19.110	-0.0003472797
19.167	-0.0003471546
19.224	-0.0003470711
19.281	-0.0003472171
19.338	-0.0003470294
19.395	-0.0003471337
19.451	-0.0003471963
19.508	-0.0003473005
19.565	-0.0003475091
19.622	-0.0003466332
19.679	-0.0003469669
19.735	-0.0003471546
19.793	-0.0003469669
19.850	-0.0003473214
19.906	-0.0003470086
19.964	-0.0003472797
20.021	-0.0003468209
20.078	-0.0003471546
20.135	-0.0003474882
20.191	-0.0003476134
20.248	-0.0003465915
20.305	-0.000347238
20.362	-0.0003472171
20.420	-0.0003473005
20.477	-0.0003474257
20.533	-0.0003469043
20.590	-0.0003472588
20.647	-0.0003471546
20.704	-0.0003471963
20.760	-0.0003469669
20.817	-0.0003475508
20.874	-0.0003472171
20.931	-0.0003471337
20.988	-0.0003470086
21.045	-0.0003476134
21.103	-0.0003467792
21.160	-0.0003470503
21.217	-0.0003471337
21.275	-0.0003470711
21.331	-0.0003475091
21.388	-0.0003462578
21.445	-0.0003473422
21.502	-0.0003470086
21.559	-0.0003470503
